Target3,DataPSTNPss1,DataPSTNPss2,DataPSTNPss3,DataPSTNPss4,DataPSTNPss5,DataPSTNPss6,DataPSTNPss7,DataPSTNPss8,DataPSTNPss9,DataPSTNPss10,DataPSTNPss11,DataPSTNPss12,DataPSTNPss13,DataPSTNPss14,DataPSTNPss15,DataPSTNPss16,DataPSTNPss17,DataPSTNPss18,DataPSTNPss19,DataPSTNPss20,DataPSTNPss21,DataPSTNPss22,DataPSTNPss23,DataPSTNPss24,DataPSTNPss25,DataPSTNPss26,DataPSTNPss27,DataPSTNPss28,DataPSTNPss29,DataPSTNPss30,DataPSTNPss31,DataPSTNPss32,DataPSTNPss33,DataPSTNPss34,DataPSTNPss35,DataPSTNPss36,DataPSTNPss37,DataPSTNPss38,DataPSTNPss39,DataPSTNPss40,DataPSTNPss41,DataPSTNPss42,DataPSTNPss43,DataPSTNPss44,DataPSTNPss45,DataPSTNPss46,DataPSTNPss47,DataPSTNPss48,DataPSTNPss49,DataPSTNPss50,DataPSTNPss51,DataPSTNPss52,DataPSTNPss53,DataPSTNPss54,DataPSTNPss55,DataPSTNPss56,DataPSTNPss57,DataPSTNPss58,DataPSTNPss59,DataPSTNPss60,DataPSTNPss61,DataPSTNPss62,DataPSTNPss63,DataPSTNPss64,DataPSTNPss65,DataPSTNPss66,DataPSTNPss67,DataPSTNPss68,DataPSTNPss69,DataPSTNPss70,DataPSTNPss71,DataPSTNPss72,DataPSTNPss73,DataPSTNPss74
0,0.005730588,0.004291739,0.002854957,-3.72E-05,-0.004326883,-0.005757463,0.00861242,0.001420243,0.002848755,0.005716117,-2.69E-05,-1.24E-05,-0.002896304,0.001416108,-0.001461589,0.008602084,-0.005769867,0.0071591,0.011471512,0.015775655,0.004277268,0.011481849,0.005726453,0.008608286,-0.007210783,0.001414041,0.005734723,-0.007202514,-0.002890102,-2.27E-05,0.008600017,-0.002896304,0.004287604,0.010038865,-0.002904573,0.005730588,-0.010088481,0.005730588,-0.007214918,0.010045067,0.005726453,0.008593815,0.008595882,0.012914496,-0.002898371,0.002857025,-1.65E-05,-1.45E-05,-0.01009675,-0.007219052,-0.023067064,0.007165302,-0.00575953,0.001428512,-1.65E-05,0.017231043,-2.27E-05,-0.018721574,-0.017280658,0.005730588,0.005732655,-0.00290664,-0.002896304,0.002863227,0.005740925,-0.007198379,0.005734723,-0.001457455,-0.007214918,0.010032664,0.010026462,0.010030596,0.007165302,0.00428347
0,-0.011562474,-0.001473993,-0.00433722,-0.007202514,0.00858968,0.012910361,-0.005784338,-0.02879145,-0.007223187,0.008606218,0.010038865,0.00430621,0.010040933,-0.010080212,-0.004331018,-0.02590755,0.012887621,0.012875217,-0.004355826,0.010026462,-0.001473993,-0.004333085,0.001407839,0.005718184,0.004271066,0.001411974,-0.014436037,-0.001471926,-0.001482262,0.004289672,0.005718184,-0.001469859,0.005734723,0.001420243,-0.002890102,0.001403705,0.001416108,-0.005798809,0.005701646,0.010028529,0.014336806,-2.89E-05,-0.014421566,0.002836352,0.004271066,-4.13E-05,-0.005765732,-0.002908708,0.007169437,0.00139957,0.008608286,0.00283015,-0.001480195,-0.001473993,0.007157033,-0.002912842,-0.015848011,-0.001469859,0.001403705,-0.001478128,-0.007225254,0.002850823,-0.002896304,0.007163235,0.002844621,-0.002902506,-0.007225254,0.010034731,-1.45E-05,0.002857025,0.004279335,0.012912429,-0.010092616,-0.002900438
0,-0.005769867,-0.004372364,0.008583478,0.004273133,-0.002914909,-0.008651699,-0.001465724,-0.005778136,0.007146696,0.002834284,0.004300008,0.005724386,-0.008647565,0.00142231,-0.011529397,-0.01007401,-0.008645497,-0.011535599,0.007146696,0.015765319,0.005732655,0.00861242,0.010040933,0.004295874,0.002863227,0.004302076,0.012920698,0.00573679,0.002865294,0.001428512,-0.001447118,-0.002896304,-0.001447118,0.004302076,0.01434921,-1.65E-05,0.002865294,0.007179773,-0.001465724,-0.005784338,-0.002892169,-0.002885967,-0.002890102,0.002838419,0.004300008,0.010049202,-0.004318614,0.001416108,-0.015858348,-0.007227322,-2.89E-05,-0.001467791,0.001411974,0.00285289,-0.008651699,-0.00721285,-0.005774001,0.002857025,0.001420243,0.001424378,-0.002879765,-0.001447118,-0.002885967,0.004304143,0.007179773,0.010036798,-0.001455387,0.010047135,-0.002890102,0.010032664,0.008610353,0.008610353,0.00142231,-1.24E-05
0,0.0071591,-0.004372364,0.008583478,0.004273133,-0.002914909,-0.001478128,-0.001473993,-0.002900438,-0.001461589,-0.00148433,0.001411974,0.004287604,-0.002910775,-3.10E-05,0.00142231,0.007171504,-1.24E-05,-0.002892169,0.001411974,-0.008659969,-0.005794675,0.004289672,0.001407839,0.005718184,0.004271066,0.001411974,-0.014436037,-0.001471926,-0.001482262,-0.01152733,-0.010094683,-0.007227322,0.00428347,0.004300008,0.017216572,0.01434921,0.004297941,-2.27E-05,-0.001455387,-0.014400893,-0.008664103,0.002842554,0.002857025,0.001420243,-8.27E-06,-2.07E-05,-0.005774001,0.004295874,0.004291739,-0.001449185,-1.65E-05,0.007161168,-0.001469859,-2.69E-05,0.001409907,-2.69E-05,-3.10E-05,-0.018721574,0.001414041,-2.48E-05,-0.011545936,-1.65E-05,0.017224841,0.00428347,0.011477714,0.017237245,-2.27E-05,-0.001486397,-0.005792607,-0.005788473,-0.008655834,-0.005776069,-0.004322749,0.002859092
0,-0.004324816,-0.001445051,-0.001455387,-0.004351691,0.004281402,0.011454974,-0.001509138,0.005701646,0.014351278,0.001420243,-0.001463657,-0.007235591,0.002846688,-0.01009675,-0.004331018,-0.012962044,-0.00433722,0.001420243,-0.001455387,0.00573679,-0.005794675,-0.001459522,-0.001467791,-0.00721285,-0.008649632,-0.008645497,-0.01152733,-0.008651699,0.001414041,0.010038865,-0.008653767,-0.007227322,0.010030596,0.00573679,0.004260729,0.004260729,0.004279335,-0.001463657,0.007154966,0.00428347,0.011459109,-0.00579054,0.008581411,-0.007229389,-0.007237658,0.012879352,-0.004370297,-0.010107087,-0.014423634,0.002828082,0.012920698,0.002850823,-0.001467791,-0.005771934,0.004289672,-1.65E-05,-0.008647565,-0.012964111,-0.0057678,-0.008639295,-0.01441123,-0.011548003,-0.005776069,0.002844621,-0.002890102,-0.008664103,-0.004343422,-0.008641363,0.010028529,-0.002892169,-0.007229389,-0.012982717,-0.005792607,-0.014415364
0,0.011465311,0.01002026,0.007148764,0.015761184,0.00858968,0.012910361,-0.005784338,-0.02879145,-0.004364095,0.002834284,0.008597949,-0.002890102,-0.008653767,-2.89E-05,-0.001467791,-0.002894236,-0.005769867,-0.010082279,-0.007204581,0.005740925,-8.27E-06,0.002867361,0.008597949,0.002859092,0.004289672,-0.001457455,0.008585545,0.010032664,0.00282188,-0.010084346,-0.001463657,0.007161168,0.005734723,0.001426445,-0.001451253,0.002859092,-0.0057678,0.004268999,0.011465311,0.017218639,-0.001465724,-0.017313735,-0.002919044,0.002850823,0.010049202,-2.07E-05,-0.005774001,0.007165302,-0.002892169,0.00285289,-0.004326883,0.00861242,-0.005774001,-0.010082279,-0.008637228,-0.001463657,-0.007206648,-0.002892169,-0.005774001,-0.00721285,0.004297941,-0.005780203,-0.007208716,0.00716737,-0.001455387,-0.005763665,-1.24E-05,-0.001451253,0.001424378,0.012918631,0.012914496,-0.002896304,0.007169437,0.002850823
0,-0.005769867,-0.004372364,0.010036798,-1.65E-05,0.002857025,-0.002892169,-0.012970313,-0.005776069,-0.008668238,-0.015862482,-0.01155007,-0.010084346,0.005714049,0.012904159,0.005718184,0.008593815,0.005718184,0.001414041,-0.020183164,0.015765319,0.001395435,-0.00290664,0.008583478,0.012893823,0.001414041,-0.010090548,-0.002888034,-0.008651699,0.001414041,-0.005778136,0.00142231,-0.001457455,-0.014407095,0.001414041,-0.001459522,0.004291739,0.004291739,0.002844621,0.00861242,-0.001457455,-0.010084346,-0.012966179,-0.012966179,0.002842554,-0.005778136,0.007175639,0.002848755,-0.011533532,-0.015858348,-0.007227322,-0.007223187,-0.010092616,-0.001476061,-0.008653767,0.007161168,-0.010084346,-0.008647565,0.007165302,0.002828082,-0.018731911,-0.001451253,-0.008657901,0.012924833,0.002842554,0.010036798,-0.004333085,0.001409907,0.008606218,0.010028529,-0.002892169,-2.69E-05,-0.001455387,-0.002898371,0.002848755
0,0.005693376,0.010040933,0.00716737,0.008583478,0.004295874,-1.65E-05,-6.20E-06,0.00573679,0.004295874,0.004289672,0.012912429,-0.002892169,-0.008653767,-0.001455387,-0.002885967,0.004308278,0.00143058,0.002859092,-0.004355826,-0.0057678,-0.004331018,0.002846688,-0.007206648,-0.001455387,-0.012968246,0.001414041,-0.004347556,0.010032664,-0.001463657,-0.005778136,-0.002885967,0.007177706,0.001428512,0.002854957,0.002834284,0.002838419,0.007150831,-0.004355826,-0.015854213,-0.001459522,-0.001459522,-0.004331018,-0.005778136,-1.65E-05,0.001416108,-2.89E-05,-0.001455387,0.00143058,-3.10E-05,-0.002904573,-0.023067064,-0.004364095,-0.001469859,0.002854957,0.005724386,0.005732655,0.001416108,-0.008649632,-3.93E-05,0.008610353,0.001407839,0.007171504,0.001411974,-0.010090548,0.001401637,0.008593815,-0.00581328,-0.020185231,-0.007233524,0.001391301,-0.012972381,-0.001478128,-2.69E-05,-0.005788473
0,-0.033161746,-1.86E-05,-0.001459522,0.004295874,-0.001473993,-0.011552138,-0.001509138,0.005701646,0.005726453,-6.20E-06,0.011481849,0.01435748,0.002846688,0.010040933,0.011481849,0.001397503,-0.011537666,0.002854957,0.00716737,0.001401637,-0.005794675,-0.00435996,-0.001469859,-3.31E-05,0.001387166,0.00283015,0.007165302,0.005724386,-0.001449185,-0.00145332,0.005732655,0.001407839,0.010030596,0.004289672,0.005724386,0.008597949,0.004289672,0.008604151,0.010045067,0.004271066,0.011459109,0.007163235,0.010047135,0.00142231,-0.007225254,-4.13E-05,0.004302076,-1.65E-05,0.008602084,-0.004335153,0.002859092,0.00283015,0.007150831,0.005707848,-0.010092616,-0.001461589,0.002854957,-0.001457455,0.005734723,0.001420243,0.005730588,0.007171504,-0.004335153,0.014355412,0.008591747,0.005722319,-0.002898371,0.010036798,0.011469445,0.004291739,0.007161168,-0.004345489,-0.004364095,-0.011570743
0,-0.033161746,-0.002931448,-0.00290664,0.004277268,0.002857025,-0.004333085,0.001416108,-0.005776069,-0.001471926,-0.002908708,-0.012986852,-0.00722112,-0.001461589,-2.48E-05,0.011477714,-0.004328951,-0.007198379,-0.010082279,0.00430621,-0.001461589,-0.002898371,-0.00290664,-0.012988919,-0.008653767,-0.012968246,-0.002896304,-0.00864343,0.004300008,0.002867361,0.005718184,-0.001463657,-1.65E-05,-1.24E-05,-0.007210783,-0.008653767,-0.004335153,0.001424378,-0.004331018,-0.011548003,-3.72E-05,0.007152898,0.002850823,0.005724386,0.005728521,0.008604151,0.007165302,-0.004370297,-4.96E-05,0.021512445,0.0071591,-0.002892169,0.005734723,-0.007214918,-0.001473993,-0.008651699,-2.27E-05,0.007179773,0.008591747,0.004287604,-0.011521128,-0.005780203,-0.002890102,-8.27E-06,0.002863227,-0.004328951,0.004297941,-0.001455387,0.004279335,0.001407839,0.002857025,0.004297941,0.002859092,0.001414041,0.010043
