Target2,DataPseKNC1,DataPseKNC2,DataPseKNC3,DataPseKNC4,DataPseKNC5,DataPseKNC6,DataPseKNC7,DataPseKNC8,DataPseKNC9,DataPseKNC10,DataPseKNC11,DataPseKNC12,DataPseKNC13,DataPseKNC14,DataPseKNC15,DataPseKNC16,DataPseKNC17,DataPseKNC18,DataPseKNC19,DataPseKNC20,DataPseKNC21,DataPseKNC22,DataPseKNC23,DataPseKNC24,DataPseKNC25,DataPseKNC26,DataPseKNC27,DataPseKNC28,DataPseKNC29,DataPseKNC30,DataPseKNC31,DataPseKNC32,DataPseKNC33,DataPseKNC34,DataPseKNC35,DataPseKNC36,DataPseKNC37,DataPseKNC38,DataPseKNC39,DataPseKNC40,DataPseKNC41,DataPseKNC42,DataPseKNC43,DataPseKNC44,DataPseKNC45,DataPseKNC46,DataPseKNC47,DataPseKNC48,DataPseKNC49,DataPseKNC50,DataPseKNC51,DataPseKNC52,DataPseKNC53,DataPseKNC54,DataPseKNC55,DataPseKNC56,DataPseKNC57,DataPseKNC58,DataPseKNC59,DataPseKNC60,DataPseKNC61,DataPseKNC62,DataPseKNC63,DataPseKNC64,DataPseKNC65,DataPseKNC66
0,0.009476703,0,0.018953407,0.009476703,0.180057365,0.018953407,0,0,0.02843011,0.009476703,0.009476703,0.009476703,0.018953407,0,0.009476703,0,0,0.180057365,0.018953407,0.018953407,0.009476703,0.009476703,0,0.009476703,0,0,0,0,0,0.009476703,0,0,0.018953407,0.009476703,0.009476703,0,0.018953407,0,0,0,0.009476703,0,0,0,0,0,0,0.009476703,0.009476703,0.009476703,0.009476703,0,0,0,0,0,0,0.009476703,0,0,0.009476703,0,0,0,0.234335358,0.064388589
0,0,0.015932994,0.007966497,0,0,0.015932994,0.015932994,0.007966497,0.031865988,0.015932994,0.039832484,0,0,0,0,0,0,0,0,0,0,0.023899491,0.023899491,0.007966497,0.047798981,0.023899491,0.007966497,0,0,0,0.007966497,0.007966497,0.023899491,0.023899491,0.079664969,0,0,0.023899491,0.031865988,0,0.031865988,0.015932994,0.031865988,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015932994,0,0,0,0,0,0.007966497,0,0.23850271,0.17197652
0,0.034161538,0.042701923,0.017080769,0.017080769,0.025621154,0.017080769,0.008540385,0.017080769,0.008540385,0.008540385,0.008540385,0.008540385,0.025621154,0.008540385,0.008540385,0,0.025621154,0,0.008540385,0.017080769,0.008540385,0,0.008540385,0,0.008540385,0,0.017080769,0,0.034161538,0,0,0,0.025621154,0.008540385,0,0,0.008540385,0,0.008540385,0.008540385,0.017080769,0.008540385,0.017080769,0.017080769,0.008540385,0.008540385,0.008540385,0,0.025621154,0.017080769,0.008540385,0.008540385,0.008540385,0,0,0.008540385,0,0.008540385,0.017080769,0,0,0,0,0,0.188273161,0.179738383
0,0.008454546,0.008454546,0.025363637,0.008454546,0.008454546,0.008454546,0.008454546,0,0.025363637,0.008454546,0.042272729,0,0,0.016909092,0,0.008454546,0.016909092,0.008454546,0.016909092,0.008454546,0.016909092,0,0.008454546,0.008454546,0.008454546,0.016909092,0.016909092,0,0.008454546,0,0.008454546,0,0.033818183,0,0.033818183,0.008454546,0.016909092,0.008454546,0.016909092,0.008454546,0.033818183,0.025363637,0.033818183,0.008454546,0,0,0,0.008454546,0,0.008454546,0,0,0.008454546,0.016909092,0.008454546,0,0.008454546,0,0,0,0,0.016909092,0,0,0.202378323,0.171985287
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00741647,0,0,0,0,0,0.00741647,0,0.00741647,0.014832941,0.014832941,0,0.014832941,0.051915292,0.022249411,0,0.059331763,0,0,0,0,0,0,0,0.014832941,0.00741647,0.014832941,0,0.029665881,0.044498822,0.022249411,0,0.037082352,0.022249411,0.00741647,0,0,0,0,0,0.014832941,0.066748233,0.029665881,0,0,0,0.022249411,0,0.00741647,0,0.00741647,0.237430091,0.213751104
0,0.026590038,0.017726692,0.008863346,0,0,0.008863346,0,0.017726692,0.026590038,0.035453383,0.017726692,0.008863346,0,0.008863346,0.008863346,0.008863346,0,0,0.017726692,0,0.017726692,0,0,0.008863346,0.017726692,0.008863346,0.008863346,0,0.026590038,0,0.008863346,0.017726692,0.017726692,0,0.044316729,0.017726692,0,0.008863346,0.017726692,0.017726692,0.026590038,0,0.017726692,0.008863346,0,0.008863346,0,0.008863346,0,0.008863346,0.017726692,0.008863346,0,0.008863346,0.017726692,0.008863346,0.008863346,0,0.008863346,0,0.008863346,0.026590038,0,0.008863346,0.177070653,0.167041752
0,0.007278942,0,0.007278942,0,0,0,0,0,0.014557883,0.014557883,0.007278942,0,0,0,0,0,0,0,0,0,0,0.021836825,0.029115766,0.007278942,0.007278942,0.021836825,0.029115766,0.021836825,0,0.014557883,0.007278942,0.007278942,0.007278942,0,0.029115766,0,0,0.021836825,0.029115766,0.014557883,0.007278942,0.021836825,0.021836825,0.021836825,0,0.014557883,0.014557883,0.014557883,0,0,0,0,0,0.014557883,0.021836825,0.007278942,0.007278942,0.007278942,0.021836825,0,0,0.014557883,0.007278942,0,0.25516093,0.206197395
0,0.008454866,0.008454866,0,0,0.016909731,0.033819463,0,0.016909731,0,0.008454866,0.016909731,0.008454866,0,0,0,0,0.008454866,0.025364597,0.016909731,0,0.016909731,0.050729194,0.025364597,0.016909731,0,0.008454866,0.008454866,0.016909731,0,0.008454866,0.025364597,0.008454866,0,0.016909731,0.008454866,0,0.008454866,0.008454866,0.016909731,0,0.016909731,0.008454866,0,0.008454866,0.008454866,0.016909731,0.008454866,0.016909731,0,0.016909731,0.008454866,0,0.008454866,0.016909731,0,0,0.008454866,0.008454866,0.008454866,0.016909731,0.016909731,0,0.008454866,0.008454866,0.215552729,0.15878721
0,0,0,0.008341728,0,0,0.008341728,0,0,0,0.008341728,0.016683456,0,0,0.008341728,0,0,0,0.008341728,0.016683456,0.008341728,0.025025184,0.033366912,0.016683456,0.008341728,0,0.008341728,0.016683456,0.025025184,0,0.04170864,0.016683456,0.008341728,0.008341728,0,0,0,0.008341728,0.025025184,0.008341728,0.008341728,0.008341728,0.016683456,0.025025184,0.016683456,0,0.016683456,0.033366912,0.008341728,0,0,0,0,0,0.016683456,0.016683456,0.050050368,0,0.016683456,0.016683456,0.016683456,0,0.016683456,0,0,0.208422271,0.174289862
0,0.02399911,0.015999406,0.007999703,0.015999406,0.007999703,0.007999703,0,0.02399911,0.007999703,0.015999406,0.007999703,0,0,0.007999703,0,0.007999703,0.007999703,0,0.015999406,0,0.007999703,0,0.02399911,0.015999406,0.015999406,0.015999406,0.02399911,0,0.007999703,0.007999703,0.015999406,0.007999703,0.015999406,0.02399911,0,0,0.007999703,0.031998813,0.015999406,0,0.015999406,0.015999406,0.015999406,0.007999703,0,0,0.007999703,0.007999703,0.015999406,0,0.015999406,0,0,0.007999703,0.007999703,0,0,0.007999703,0.007999703,0.007999703,0.02399911,0,0,0.007999703,0.202560364,0.205461601
