Target3,DataPSTNPss1,DataPSTNPss2,DataPSTNPss3,DataPSTNPss4,DataPSTNPss5,DataPSTNPss6,DataPSTNPss7,DataPSTNPss8,DataPSTNPss9,DataPSTNPss10,DataPSTNPss11,DataPSTNPss12,DataPSTNPss13,DataPSTNPss14,DataPSTNPss15,DataPSTNPss16,DataPSTNPss17,DataPSTNPss18,DataPSTNPss19,DataPSTNPss20,DataPSTNPss21,DataPSTNPss22,DataPSTNPss23,DataPSTNPss24,DataPSTNPss25,DataPSTNPss26,DataPSTNPss27,DataPSTNPss28,DataPSTNPss29,DataPSTNPss30,DataPSTNPss31,DataPSTNPss32,DataPSTNPss33,DataPSTNPss34,DataPSTNPss35,DataPSTNPss36,DataPSTNPss37,DataPSTNPss38,DataPSTNPss39
0,-0.003798552,-0.005688911,0.01319328,-1.78E-05,0.003766451,-1.78E-05,0.00752577,0.00753647,-0.003794985,-0.007572137,-0.003809252,-0.001901059,-0.011359989,-0.009466063,-0.015130007,-0.009476763,-0.013303848,-0.00193316,0.001747691,0.011188786,0.022523808,-0.015140707,0.005653244,0.009430396,0.00564611,0.001868959,-0.00758997,-4.28E-05,-0.011367122,-3.21E-05,-0.003798552,0.003762885,-0.005678211,-0.007572137,0.009426829,-0.001911759,-0.00757927,-0.003805685,-0.00758997
0,0.00753647,-0.001911759,-0.013268181,-0.009487463,0.007515069,0.001858259,-0.003809252,0.003759318,0.003755751,0.015072939,0.015083639,-0.001904626,-0.003791418,0.00562471,-0.001901059,-0.009458929,-0.007572137,0.015080073,0.003623783,-9.99E-05,0.005560509,0.001876092,0.003762885,-0.009476763,-0.013257481,-0.001904626,-1.78E-05,0.001858259,0.011310055,0.015083639,0.015072939,-4.64E-05,-0.001940293,-0.007604237,-0.013253914,0.007532903,-0.001915326,-0.00948033,-0.022698577
0,0.003755751,0.003755751,-0.005713878,0.003755751,-2.14E-05,0.005617577,-0.011370689,0.001847559,0.005621143,0.018839391,-5.35E-05,0.016959732,0.011295788,-1.78E-05,0.001868959,-0.005681778,-0.026482862,0.007518636,0.01877519,0.005496308,0.022523808,0.020736883,0.011306488,0.009416129,0.001858259,-0.005710311,-4.64E-05,0.020744017,0.007529336,0.005642544,0.003759318,0.00564611,0.001861825,-2.14E-05,0.003752185,-3.21E-05,-0.01513714,0.003755751,0.011302921
0,0.003752185,0.009412562,0.007532903,-2.14E-05,-0.009462496,-3.92E-05,-0.022712844,0.001861825,0.001851125,0.011302921,0.001858259,0.001861825,0.00564611,-0.011359989,0.001858259,-0.005685344,-0.009469629,-2.85E-05,-0.007643471,0.035774156,0.022523808,0.016966865,0.003752185,-0.001911759,0.001865392,0.009405429,-2.85E-05,-0.001915326,0.003752185,-0.003798552,-0.020836751,0.003737918,0.001861825,0.007529336,0.007500803,0.024474801,-9.27E-05,0.009412562,0.011299354
0,0.00564611,-2.85E-05,-0.005681778,-0.009469629,0.005649677,0.013196847,0.015076506,0.015058672,-0.007586404,-0.001901059,0.011306488,-3.21E-05,-3.57E-05,-0.003805685,0.00564611,-0.005688911,-0.005692478,-0.011363555,-0.011431323,0.022566608,-0.013346649,0.005631844,-0.003805685,-0.00197596,0.005556943,0.009398295,0.003759318,0.001868959,0.011310055,0.003755751,-2.14E-05,-0.005692478,-0.005699611,-2.85E-05,0.005642544,-2.50E-05,0.001861825,0.001865392,0.016959732
0,-0.003798552,0.003755751,-1.07E-05,0.005649677,0.001861825,-0.001918893,0.011306488,0.009419695,0.007522203,0.003759318,0.001868959,-1.78E-05,0.003762885,0.001865392,-0.003791418,-0.003798552,0.001822592,-0.000103435,-0.019096194,-0.015222741,0.00367015,-0.009473196,-3.57E-05,-0.009505297,-0.003837786,-0.005721012,-0.007643471,0.001854692,0.001868959,0.003762885,0.007515069,-0.015179941,-0.007636338,-0.011399222,-0.018957092,-0.001947427,-0.00950173,-0.00196526,-0.003873453
0,0.003752185,0.013196847,0.003748618,0.003741484,-0.003819952,0.00563541,-0.003805685,0.013196847,0.001851125,0.00752577,0.00564611,0.001868959,0.001872526,-4.64E-05,-0.011381389,0.011295788,0.001861825,0.015080073,0.003623783,-9.99E-05,0.005560509,0.001876092,0.016970432,0.011306488,0.007532903,-0.005696045,0.011299354,-2.85E-05,0.005638977,-0.005724578,0.005621143,-0.003805685,-0.034065699,0.005621143,0.003755751,-0.005692478,0.011313621,0.001854692,0.009408995
0,-2.14E-05,0.009408995,-0.00948033,-0.001915326,0.005631844,0.013186147,0.015065806,0.009405429,-0.00193316,-0.00758997,0.001861825,0.001865392,-0.005681778,0.013189714,0.018857224,-0.00192246,0.009416129,0.011302921,0.016884831,-0.000139102,-0.002090095,-0.001972394,0.005621143,-0.007593537,-0.030302814,-0.02269501,0.001861825,0.005638977,-0.005710311,-0.005724578,0.001858259,0.009408995,0.001861825,-2.14E-05,0.005642544,0.00563541,-0.005699611,0.001854692,-0.007604237
0,-0.013246781,-0.022752078,-0.013268181,-0.009487463,0.001868959,-0.00192246,-0.011370689,-0.018935692,-0.001911759,0.003762885,0.007529336,0.009408995,-0.003805685,0.001858259,-0.001911759,-0.001904626,0.005656811,0.003759318,-0.011431323,0.005496308,0.009326961,0.001840425,-0.005688911,-0.003802119,0.001879659,-0.001936726,-3.92E-05,0.016963298,-0.003805685,-0.015187074,-0.003819952,0.003737918,-0.003794985,-0.009462496,-0.001904626,0.013196847,0.013196847,0.009412562,-1.78E-05
0,-0.005681778,0.001872526,-0.005696045,0.001865392,0.011299354,-0.001918893,-0.007575704,0.011306488,-0.00193316,-3.92E-05,-0.00948033,-2.85E-05,-0.013268181,0.00562471,-0.001901059,-0.009458929,-0.009476763,-0.003798552,-0.015215608,-0.000139102,0.022559475,0.003752185,-0.009473196,-2.85E-05,-0.011356422,-0.001918893,0.001861825,-0.003809252,0.001851125,-0.005692478,-0.003794985,0.00564611,0.001861825,-7.13E-06,-0.001904626,0.009412562,0.001872526,0.001858259,0.007511503
0,-0.001908193,-0.003794985,-0.003802119,-0.011374255,-0.00949103,-0.030309948,0.001851125,0.001865392,0.005621143,0.011295788,0.007529336,-0.005685344,0.013200414,0.009412562,-7.85E-05,0.009362628,-0.013303848,-0.000103435,-0.019096194,0.022566608,-0.013346649,0.011313621,0.01320398,0.009405429,-0.001926026,0.001851125,0.005628277,0.015087206,0.001858259,-0.015187074,-0.003812819,-2.50E-05,-1.78E-05,-0.007575704,-0.003816385,0.009419695,0.005649677,-0.001901059,0.003752185
0,-0.005699611,0.00752577,-0.007582837,-0.017066733,-0.011417056,-0.001926026,0.009401862,-0.018935692,-0.001911759,0.00563541,0.015076506,0.005617577,0.020736883,0.001858259,-0.009487463,-0.009476763,-0.015151407,-0.00951243,0.003623783,-9.99E-05,-0.024695938,0.001854692,-0.011381389,0.003723651,0.001858259,-0.001936726,0.003745051,-3.21E-05,-0.003812819,-0.007593537,0.009412562,0.003748618,-0.00192246,0.003745051,0.003745051,-0.005678211,-2.14E-05,0.00753647,0.00564611
0,-0.005688911,-0.02270571,0.007529336,0.003762885,-3.92E-05,0.011306488,-0.013243214,0.003741484,-0.003812819,-0.00758997,-0.00757927,-0.001904626,-0.003794985,-4.99E-05,0.015055106,0.007518636,0.011306488,0.005631844,-0.011431323,0.005496308,-0.002090095,0.003748618,-0.005688911,-0.009476763,-0.013257481,-0.005696045,-0.00757927,-0.009466063,-2.14E-05,0.001868959,0.007515069,0.009412562,0.001854692,-0.009537397,0.007518636,0.00563541,0.016959732,-0.001908193,0.003727218
0,-0.024610336,-0.02270571,0.00752577,-1.43E-05,0.007532903,0.016941898,-0.013310982,-0.013286015,-0.005692478,0.007540036,0.001858259,-0.007625638,0.020736883,0.00563541,0.007522203,-0.020843885,-0.011413489,-0.011367122,-0.007639904,0.001826158,-0.017109534,-0.001918893,-0.01514784,0.013196847,0.005649677,0.009426829,-0.007643471,0.001815458,-7.49E-05,-4.99E-05,0.001829725,-0.015179941,0.001854692,-0.00757927,-0.020818918,-0.00194386,-0.007604237,-1.78E-05,-1.78E-05
0,-0.00197596,-4.64E-05,-0.00948033,-0.005710311,0.011235154,0.005617577,0.013179013,-0.001929593,0.011292221,0.00563541,-5.35E-05,-0.015197774,-4.28E-05,-2.85E-05,-0.00758997,0.003752185,0.011310055,-0.003802119,0.016884831,-0.000139102,0.022523808,0.016966865,-1.78E-05,0.007540036,0.005649677,-0.005696045,-0.00757927,-0.005681778,-0.005692478,-0.003816385,-0.015201341,0.011281521,0.005631844,0.013179013,0.003759318,-0.003809252,-0.001893926,0.001872526,0.001861825
