Target3,PSTNPSS1,PSTNPSS2,PSTNPSS3,PSTNPSS4,PSTNPSS5,PSTNPSS6,PSTNPSS7,PSTNPSS8,PSTNPSS9,PSTNPSS10,PSTNPSS11,PSTNPSS12,PSTNPSS13,PSTNPSS14,PSTNPSS15,PSTNPSS16,PSTNPSS17,PSTNPSS18,PSTNPSS19,PSTNPSS20,PSTNPSS21,PSTNPSS22,PSTNPSS23,PSTNPSS24,PSTNPSS25,PSTNPSS26,PSTNPSS27,PSTNPSS28,PSTNPSS29,PSTNPSS30,PSTNPSS31,PSTNPSS32,PSTNPSS33,PSTNPSS34,PSTNPSS35,PSTNPSS36,PSTNPSS37,PSTNPSS38,PSTNPSS39
0,0.0034191,-0.005769649,-0.005764346,-0.00230945,0.002298844,-0.003461524,-0.006929677,-0.009239128,0.00804463,0.012640993,0.011499525,0.00689123,0.003440312,-0.004622878,-0.005788209,-0.008092357,-0.003468153,0.005732528,0.003435009,0.005748437,-0.00116268,-0.010384573,-0.005766997,-0.005776278,-1.33E-05,-0.003478759,-0.001177263,-0.005780255,-0.002313428,-0.005768323,0.004577803,-0.008104289,-0.011547252,0.005727225,0.003425729,0.01722675,0.003436335,0.00459106,-0.001178589
0,-0.002350549,0.00458178,0.00112821,-0.001167983,-0.005773626,-0.019601162,-0.009236476,-0.003494668,0.001121582,-0.017303644,-0.014995519,0.006884602,-0.010373967,-0.008079099,-0.002325359,-0.012683417,-0.004617575,-0.001166657,0.009196704,0.002289564,-0.004636136,-0.008093683,-0.003477433,-0.005774952,-0.006924374,-0.005773626,-0.00347213,0.005736505,0.00804463,0.010342149,0.004595037,-0.004642764,-0.017302318,0.001124233,-0.001164005,0.005741808,-0.004626855,-0.016152896,-0.004626855
0,-0.005802793,-0.017306295,-0.001183892,-0.005790861,-0.008095008,0.018369544,0.004567197,-0.012701977,0.001116279,-0.003488039,0.003423078,-0.002331988,-0.003477433,-0.016146267,-0.005788209,0.003427055,-1.19E-05,-0.003469479,0.002288239,-0.00348141,-0.008095008,-0.011549904,0.002278958,0.008032698,0.003442964,0.005736505,0.001134839,0.006864716,-0.006927026,-0.001174611,0.00458178,-0.001164005,-0.002314753,-0.003468153,-0.011531343,-0.005776278,0.002273655,-0.008095008,-0.004617575
0,-0.001179914,-0.011552555,0.002268352,0.017240008,0.011499525,0.00458178,-0.002314753,-1.99E-05,-0.006927026,-0.008068493,-0.014995519,-0.006945586,-0.014990216,0.003427055,0.005732528,0.00229089,0.004595037,-0.01039783,-0.001182566,-0.004622878,0.00574446,-0.001165331,0.006887253,0.009196704,-0.009241779,0.005737831,0.012647622,0.008040653,-0.004636136,-2.12E-05,0.002282936,-0.002325359,0.00110965,0.00110965,0.008007509,0.01722675,0.002267027,-0.004642764,-0.008101637
0,-0.001179914,-0.017306295,0.001140142,-0.004617575,-0.002312102,0.00458178,0.010331543,-0.008084402,-0.002333314,-0.004628181,-0.002324034,-0.003469479,0.008051259,-0.0057723,0.001140142,0.011491571,0.001114953,0.008028721,-0.001187869,0.010319611,0.010312982,0.0045725,0.004571174,0.006889905,0.006893882,-0.005773626,-0.00347213,-3.05E-05,-0.008079099,-0.001178589,0.001117604,0.011484942,0.005723248,0.005727225,0.003425729,0.00687267,0.005724574,-0.002342594,-0.008101637
0,0.008020766,-0.002335965,-0.006931003,-0.003480085,0.002286913,0.014949118,-0.004609621,0.002286913,-0.005769649,-1.99E-05,-0.001161354,-0.005774952,-0.001165331,-3.45E-05,0.004583106,-0.001160028,0.001142794,-0.004614924,-0.004620227,-0.005766997,-0.002318731,0.009191401,0.002278958,0.00574446,0.002293541,0.004597689,0.001136165,0.002278958,-0.011533995,-0.006941609,-0.006942935,-0.004642764,-0.006941609,0.003416449,-0.002322708,-0.001165331,0.002294867,0.003440312,0.001121582
0,-0.027678936,-0.011552555,-0.012696674,-2.12E-05,-0.002316079,-0.001166657,-0.001169308,-0.010381921,-0.006953541,-0.002326685,0.002280284,0.009203332,-3.31E-05,-3.45E-05,0.004583106,0.001125559,-0.002324034,0.00228161,-0.005776278,-3.45E-05,0.010312982,-0.012708606,-0.002333314,0.003440312,0.005743134,-0.001175937,-2.78E-05,0.011491571,-0.003474782,-0.002317405,-0.003464176,-1.99E-05,0.004587083,-0.002326685,0.008007509,0.005736505,-0.010375292,-0.003465501,0.001138816
0,-0.003468153,-0.008076448,-0.001161354,-0.001160028,-0.003461524,-0.010375292,-0.009231173,0.003436335,-2.52E-05,-0.009220567,-0.003466827,-0.002324034,-9.28E-06,0.004597689,0.005732528,0.001125559,-0.002324034,0.001144119,0.001138816,0.005743134,0.005739157,0.006884602,-0.001165331,-0.0069257,-0.008076448,-0.002325359,0.001136165,-1.19E-05,-1.33E-05,-0.0069257,0.008038001,-1.86E-05,-1.33E-05,-0.001160028,-0.011531343,-0.005776278,-0.009236476,0.001133513,0.001141468
0,0.008020766,-0.002335965,0.005739157,0.014941163,0.005731202,-1.19E-05,-0.001157377,0.002286913,-0.019609117,-0.011549904,-0.014995519,0.006892556,0.004595037,0.002292216,-0.001175937,-0.010380595,0.004589734,0.005732528,0.003431032,0.010319611,0.004587083,0.012639667,-0.002328011,0.002260398,-0.009241779,-0.010393853,-0.013844771,-0.006928351,0.009188749,-0.001177263,0.008020766,-0.004642764,-0.006941609,0.003416449,-0.012695349,-0.005790861,-0.001193172,-0.002342594,-0.008101637
0,0.003421752,0.005729876,-0.006931003,-0.001167983,-0.003470804,0.004585757,0.010331543,-0.008084402,0.004585757,-0.002318731,0.001125559,-0.004633484,0.001133513,0.002282936,-0.009223219,0.00229089,0.008030047,-0.001158702,-0.005776278,-0.00347213,-0.003480085,0.0045725,-0.001165331,0.00804463,-1.99E-05,-2.52E-05,-2.78E-05,0.005739157,-0.006927026,0.006883276,-0.001164005,-0.005770975,-0.002313428,0.01609854,-0.008072471,0.001138816,0.003437661,0.004593712,-0.005773626
